# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = simple_bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/simple-bernoulli.json
# init = 2 (Default)
# random
#   seed = 3649689744 (Default)
# output
#   file = data/simple-bernoulli_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.98132
# Diagonal elements of inverse mass matrix:
# 0.51542
-6.94846,1,0.98132,1,1,0,7.16373,0.176924
-6.9833,0.992564,0.98132,1,1,0,7.02189,0.17142
-7.34513,0.931351,0.98132,1,1,0,7.3472,0.132309
-8.29189,0.87992,0.98132,2,3,0,8.91961,0.0813037
-8.05,1,0.98132,2,3,0,8.40849,0.0909731
-8.08955,0.995182,0.98132,1,1,0,8.30087,0.0892825
-7.78923,1,0.98132,1,1,0,8.15094,0.103428
-9.59873,0.87713,0.98132,2,3,0,9.60631,0.589493
-6.74803,1,0.98132,1,3,0,8.89257,0.250605
-6.75683,0.998246,0.98132,2,3,0,6.75977,0.233656
-6.80472,0.985185,0.98132,1,3,0,6.83733,0.293578
-7.27445,0.78066,0.98132,2,3,0,8.06602,0.138315
-6.7586,0.898356,0.98132,2,3,0,8.1819,0.268468
-6.82038,0.978733,0.98132,1,3,0,6.86925,0.204572
-6.76034,0.935205,0.98132,2,3,0,7.32237,0.23073
-7.32495,0.632773,0.98132,2,3,0,9.30302,0.133969
-6.82638,0.988431,0.98132,2,3,0,7.4424,0.20282
-6.79165,1,0.98132,1,1,0,6.82286,0.214343
-7.25134,0.913858,0.98132,1,3,0,7.28642,0.140403
-6.74991,0.991581,0.98132,1,3,0,7.23644,0.242378
-7.56844,0.81209,0.98132,1,3,0,7.8108,0.116239
-9.0062,0.831497,0.98132,1,3,0,9.03214,0.0597757
-8.4805,1,0.98132,1,1,0,9.0644,0.074735
-8.69749,0.978772,0.98132,1,1,0,8.89314,0.0680305
-8.9793,0.975025,0.98132,1,1,0,9.17268,0.0604426
-6.96664,1,0.98132,2,3,0,8.87955,0.173985
-6.94122,1,0.98132,1,1,0,7.00053,0.178141
-6.75096,0.931513,0.98132,2,3,0,7.6158,0.240507
-7.10365,0.918207,0.98132,1,3,0,7.17194,0.155589
-6.76983,0.973928,0.98132,1,3,0,7.19674,0.276689
-6.83509,0.965305,0.98132,2,3,0,6.95986,0.200407
-7.05595,0.963802,0.98132,1,3,0,7.05595,0.161381
-7.19644,0.918978,0.98132,1,3,0,7.79314,0.37869
-7.24132,0.780856,0.98132,1,3,0,8.2198,0.141329
-6.84045,0.945855,0.98132,1,3,0,7.5159,0.306122
-6.82426,1,0.98132,1,1,0,6.85564,0.300789
-7.04487,0.931012,0.98132,1,1,0,7.0496,0.35343
-7.25222,0.791298,0.98132,1,3,0,8.03587,0.140322
-8.77391,0.746823,0.98132,1,3,0,10.0029,0.535435
-8.29827,1,0.98132,1,1,0,9.09291,0.49837
-8.54318,0.912897,0.98132,1,1,0,9.06459,0.518119
-7.98576,1,0.98132,2,3,0,8.70873,0.470639
-6.88441,0.952465,0.98132,1,3,0,8.23531,0.188791
-6.88441,0.93757,0.98132,1,3,0,7.21126,0.188791
-6.78806,1,0.98132,1,1,0,6.86116,0.215789
-6.75574,0.999986,0.98132,1,3,0,6.77961,0.234692
-6.80391,0.985306,0.98132,1,3,0,6.83426,0.293258
-6.85702,0.909367,0.98132,2,3,0,7.25112,0.194874
-6.76607,0.992835,0.98132,2,3,0,6.91543,0.226769
-6.9053,0.972481,0.98132,1,3,0,6.90943,0.184616
-7.01111,0.950929,0.98132,1,3,0,7.33191,0.347041
-6.79209,1,0.98132,1,1,0,6.94195,0.288274
-6.78076,1,0.98132,1,1,0,6.79635,0.282858
-8.76778,0.610531,0.98132,1,3,0,8.81734,0.53499
-7.00504,1,0.98132,1,1,0,8.14325,0.345855
-7.04845,0.985405,0.98132,1,1,0,7.12397,0.354087
-6.93576,1,0.98132,1,1,0,7.05454,0.331251
-7.79778,0.694075,0.98132,1,3,0,8.85446,0.102979
-9.24731,0.82701,0.98132,1,3,0,9.25992,0.0541877
-7.8185,0.917024,0.98132,1,3,0,9.09203,0.101903
-7.99756,0.97675,0.98132,1,1,0,8.13459,0.0932884
-6.79972,1,0.98132,2,3,0,7.69965,0.291554
-6.76101,1,0.98132,1,1,0,6.78853,0.270497
-6.757,0.981584,0.98132,2,3,0,6.85847,0.233505
-6.79223,0.989218,0.98132,2,3,0,6.83511,0.214114
-6.78942,0.919201,0.98132,2,3,0,7.406,0.215233
-6.89181,0.990678,0.98132,2,3,0,6.89394,0.320657
-7.10504,0.655731,0.98132,2,3,0,8.65601,0.364038
-6.93815,1,0.98132,1,1,0,7.08808,0.331793
-8.77239,0.523111,0.98132,1,1,0,8.77245,0.535324
-7.30059,1,0.98132,1,1,0,8.31028,0.393792
-7.62938,0.888183,0.98132,1,1,0,7.7762,0.434311
-7.07667,1,0.98132,2,3,0,7.48907,0.359147
-6.98502,0.903153,0.98132,1,3,0,7.57235,0.17116
-7.39813,0.92252,0.98132,1,1,0,7.39865,0.128133
-7.25271,1,0.98132,1,1,0,7.44014,0.140277
-7.30515,0.990754,0.98132,1,1,0,7.39677,0.135639
-8.28395,0.870386,0.98132,1,3,0,8.28852,0.0815974
-7.07119,0.98049,0.98132,1,3,0,8.13632,0.159471
-6.7725,1,0.98132,2,3,0,7.00316,0.278314
-7.2345,0.922498,0.98132,2,3,0,7.25933,0.141967
-7.05233,1,0.98132,1,1,0,7.22751,0.161844
-7.01194,1,0.98132,1,1,0,7.09422,0.167258
-8.22525,0.850847,0.98132,1,3,0,8.31085,0.0838156
-7.6564,0.841768,0.98132,2,3,0,11.0631,0.110834
-6.95804,0.986979,0.98132,1,3,0,7.53441,0.175357
-6.7658,0.910861,0.98132,2,3,0,7.87512,0.22694
-8.71238,0.606592,0.98132,1,3,0,9.44928,0.0676
-7.69218,1,0.98132,1,1,0,8.5847,0.108756
-7.69218,0.812078,0.98132,1,3,0,9.27673,0.108756
-6.90679,0.85542,0.98132,2,3,0,9.47277,0.18433
-7.25716,0.927714,0.98132,2,3,0,7.58578,0.139871
-7.09874,1,0.98132,1,1,0,7.26705,0.156161
-6.80695,0.98761,0.98132,2,3,0,7.21923,0.208809
-8.655,0.645556,0.98132,1,3,0,9.03595,0.526655
-8.6208,1,0.98132,1,1,0,9.30903,0.524074
-6.96202,0.94067,0.98132,1,3,0,9.00684,0.174717
